Year,Rank,Player,Sponsored,Main,Country,Region
2019,50,,,,,
2019,49,,,,,
2019,48,,,,,
2019,47,,,,,
2019,46,,,,,
2019,45,,,,,
2019,44,,,,,
2019,43,,,,,
2019,42,,,,,
2019,41,,,,,
2019,40,,,,,
2019,39,,,,,
2019,38,,,,,
2019,37,,,,,
2019,36,,,,,
2019,35,,,,,
2019,34,,,,,
2019,33,,,,,
2019,32,,,,,
2019,31,,,,,
2019,30,,,,,
2019,29,,,,,
2019,28,,,,,
2019,27,,,,,
2019,26,,,,,
2019,25,,,,,
2019,24,,,,,
2019,23,,,,,
2019,22,,,,,
2019,21,,,,,
2019,20,,,,,
2019,19,,,,,
2019,18,,,,,
2019,17,,,,,
2019,16,,,,,
2019,15,,,,,
2019,14,,,,,
2019,13,,,,,
2019,12,,,,,
2019,11,,,,,
2019,10,,,,,
2019,9,,,,,
2019,8,,,,,
2019,7,,,,,
2019,6,,,,,
2019,5,,,,,
2019,4,,,,,
2019,3,,,,,
2019,2,,,,,
2019,1,,,,,
2018,50,,,,,
2018,49,,,,,
2018,48,,,,,
2018,47,,,,,
2018,46,,,,,
2018,45,,,,,
2018,44,,,,,
2018,43,,,,,
2018,42,,,,,
2018,41,,,,,
2018,40,,,,,
2018,39,,,,,
2018,38,,,,,
2018,37,,,,,
2018,36,,,,,
2018,35,,,,,
2018,34,,,,,
2018,33,,,,,
2018,32,,,,,
2018,31,,,,,
2018,30,,,,,
2018,29,,,,,
2018,28,,,,,
2018,27,,,,,
2018,26,,,,,
2018,25,,,,,
2018,24,,,,,
2018,23,,,,,
2018,22,,,,,
2018,21,,,,,
2018,20,,,,,
2018,19,,,,,
2018,18,,,,,
2018,17,,,,,
2018,16,,,,,
2018,15,,,,,
2018,14,,,,,
2018,13,,,,,
2018,12,,,,,
2018,11,,,,,
2018,10,,,,,
2018,9,,,,,
2018,8,,,,,
2018,7,,,,,
2018,6,,,,,
2018,5,,,,,
2018,4,,,,,
2018,3,,,,,
2018,2,,,,,
2018,1,,,,,
2017,50,,,,,
2017,49,,,,,
2017,48,,,,,
2017,47,,,,,
2017,46,,,,,
2017,45,,,,,
2017,44,,,,,
2017,43,,,,,
2017,42,,,,,
2017,41,,,,,
2017,40,,,,,
2017,39,,,,,
2017,38,,,,,
2017,37,,,,,
2017,36,,,,,
2017,35,,,,,
2017,34,,,,,
2017,33,,,,,
2017,32,,,,,
2017,31,,,,,
2017,30,,,,,
2017,29,,,,,
2017,28,,,,,
2017,27,,,,,
2017,26,,,,,
2017,25,,,,,
2017,24,,,,,
2017,23,,,,,
2017,22,,,,,
2017,21,,,,,
2017,20,,,,,
2017,19,,,,,
2017,18,,,,,
2017,17,,,,,
2017,16,,,,,
2017,15,,,,,
2017,14,,,,,
2017,13,,,,,
2017,12,,,,,
2017,11,,,,,
2017,10,,,,,
2017,9,,,,,
2017,8,,,,,
2017,7,,,,,
2017,6,,,,,
2017,5,,,,,
2017,4,,,,,
2017,3,,,,,
2017,2,,,,,
2017,1,,,,,
2016,50,Mafia,0,Peach,USA,NE
2016,49,Crush,EndGameTV,Fox,USA,NE
2016,48,Ryan Ford,EarthRoot Gaming,Fox,CANADA,
2016,47,Infinite Numbers,0,ICs,USA,NE
2016,46,CDK,True AmBition Gaming,Fox,USA,Socal
2016,45,Captain Faceroll,0,Shiek,USA,Socal
2016,44,Trif,Team Heir,Peach,SPAIN,
2016,43,Santiago,0,Fox,USA,Socal
2016,42,Prince Abu,0,Puff,USA,Midwest
2016,41,Gravy,0,CF,USA,Florida
2016,40,Abate,0,Luigi,USA,PGH
2016,39,Bladewise,62-Bit Gaming,Peach,USA,PNW
2016,38,Hugs,Selfless Gaming,Samus,USA,Socal
2016,37,Javi,0,Fox,MEXICO,
2016,36,Chillin,Team Liquid,Fox,USA,MDVA
2016,35,Ghatzu,0,CF,USA,Florida
2016,34,KJH,0,Fox,USA,Midwest
2016,33,Laudandus,0,Shiek,USA,Norcal
2016,32,Amsa,VGBootCamp,Yoshi,JAPAN,
2016,31,Zhu,Boxr,Falco,USA,Norcal
2016,30,Wobbles,Panda Global,ICs,USA,Texas
2016,29,KirbyKaze,0,Shiek,CANADA,
2016,28,MikeHaze,Obey Alliance,Fox,USA,Socal
2016,27,Dizzkidboogie,0,ICs,USA,Norcal
2016,26,MacD,Splyce,Peach,USA,Socal
2016,25,Colbol,Smash Studios,Fox,USA,Florida
2016,24,Professor Pro,0,Fox,UK,
2016,23,DruggedFox,0,Fox,USA,Georgia
2016,22,ChuDat,VGBootCamp,ICs,USA,MDVA
2016,21,TheMoon,Misfits,Marth,USA,Tristate
2016,20,Silentwolf,Team Secret,Fox,USA,PNW
2016,19,Lucky,Selfless Gaming,Fox,USA,Socal
2016,18,N0ne,Even Matchup Gaming,CF,CANADA,
2016,17,Nintendude,Splyce,ICs,USA,Norcal
2016,16,S2J,Tempo Storm,CF,USA,Socal
2016,15,Duck,0,Samus,USA,Midwest
2016,14,PewPewU,Counter Logic Gaming,Marth,USA,Norcal
2016,13,Ice,Luminosity Gaming,Fox,GERMANY,
2016,12,Wizzrobe,0,CF,USA,Florida
2016,11,Swedish Delight,Renegades,Shiek,USA,Tristate
2016,10,Shroomed,Immortals,Shiek,USA,Norcal
2016,9,Axe,Tempo Storm,Pikachu,USA,Arizona
2016,8,Westballz,G2 Esports,Falco,USA,Socal
2016,7,Sfat,Counter Logic Gaming,Fox,USA,Norcal
2016,6,Plup,Panda Global,Shiek,USA,Florida
2016,5,Leffen,Team SoloMid,Fox,SWEDEN,
2016,4,Mew2king,Echo Fox,Marth,USA,Florida
2016,3,Mango,Cloud9,Fox,USA,Socal
2016,2,Hungrybox,Team Liquid,Puff,USA,Florida
2016,1,Armada,Alliance,Peach,SWEDEN,